Series;Time;Value
direction;2018-09-01 11:40:16;90
direction;2018-09-01 11:46:16;225
direction;2018-09-01 11:52:48;270
direction;2018-09-01 11:56:48;225
direction;2018-09-01 12:00:48;270
direction;2018-09-01 12:06:48;180
direction;2018-09-01 12:10:48;135
direction;2018-09-01 12:16:48;225
direction;2018-09-01 12:20:48;270
direction;2018-09-01 12:32:41;180
direction;2018-09-01 12:38:41;225
direction;2018-09-01 12:42:41;270
direction;2018-09-01 12:48:41;270
direction;2018-09-01 12:52:41;135
direction;2018-09-01 12:56:41;135
direction;2018-09-01 13:04:04;270
direction;2018-09-01 13:08:04;270
direction;2018-09-01 13:14:04;270
direction;2018-09-01 13:18:04;270
direction;2018-09-01 13:22:04;135
direction;2018-09-01 13:26:04;135
direction;2018-09-01 13:32:04;270
direction;2018-09-01 13:36:04;225
direction;2018-09-01 13:42:04;135
direction;2018-09-01 13:48:04;135
direction;2018-09-01 13:52:04;180
direction;2018-09-01 13:56:04;180
direction;2018-09-01 14:00:04;135
direction;2018-09-01 14:06:04;270
direction;2018-09-01 14:12:04;90
direction;2018-09-01 14:16:04;315
direction;2018-09-01 14:20:04;225
direction;2018-09-01 14:24:04;270
direction;2018-09-01 14:30:04;270
direction;2018-09-01 14:34:04;180
direction;2018-09-01 14:40:04;225
direction;2018-09-01 14:46:04;135
direction;2018-09-01 14:50:04;180
direction;2018-09-01 15:00:04;270
direction;2018-09-01 15:06:04;270
direction;2018-09-01 15:12:04;135
direction;2018-09-01 15:18:04;270
direction;2018-09-01 15:22:04;135
direction;2018-09-01 15:28:04;135
direction;2018-09-01 15:34:04;135
direction;2018-09-01 15:40:04;270
direction;2018-09-01 15:46:04;180
direction;2018-09-01 15:50:04;270
direction;2018-09-01 15:54:04;135
direction;2018-09-01 15:58:04;90
direction;2018-09-01 16:02:04;135
direction;2018-09-01 16:06:04;90
direction;2018-09-01 16:10:04;90
direction;2018-09-01 16:14:04;270
direction;2018-09-01 16:20:04;135
direction;2018-09-01 16:24:04;180
direction;2018-09-01 16:28:04;135
direction;2018-09-01 16:32:04;270
direction;2018-09-01 16:38:04;135
direction;2018-09-01 16:42:04;135
direction;2018-09-01 16:48:04;135
direction;2018-09-01 16:55:09;135
direction;2018-09-01 17:02:30;135
direction;2018-09-01 17:06:30;135
direction;2018-09-01 17:10:30;135
direction;2018-09-01 17:16:30;135
direction;2018-09-01 17:22:30;270
direction;2018-09-01 17:26:30;270
direction;2018-09-01 17:32:30;135
direction;2018-09-01 17:38:30;135
direction;2018-09-01 17:44:30;135
direction;2018-09-01 17:50:30;270
direction;2018-09-01 17:54:30;135
direction;2018-09-01 18:00:30;135
direction;2018-09-01 18:06:30;270
direction;2018-09-01 18:12:30;270
direction;2018-09-01 18:18:30;135
direction;2018-09-01 18:22:30;135
direction;2018-09-01 18:26:30;135
direction;2018-09-01 18:30:30;180
direction;2018-09-01 18:34:30;135
direction;2018-09-01 18:38:30;135
direction;2018-09-01 18:44:30;135
direction;2018-09-01 18:50:30;135
direction;2018-09-01 18:56:30;225
direction;2018-09-01 19:00:30;135
direction;2018-09-01 19:04:30;135
direction;2018-09-01 19:10:30;135
direction;2018-09-01 19:16:30;180
direction;2018-09-01 19:20:30;180
direction;2018-09-01 19:26:30;180
direction;2018-09-01 19:32:30;270
direction;2018-09-01 19:36:30;270
direction;2018-09-01 19:42:30;270
direction;2018-09-01 19:46:30;180
direction;2018-09-01 19:52:30;135
direction;2018-09-01 19:56:30;180
direction;2018-09-01 20:00:30;135
direction;2018-09-01 20:06:30;135
direction;2018-09-01 20:12:30;90
direction;2018-09-01 20:16:30;135
direction;2018-09-01 20:20:30;135
direction;2018-09-01 20:24:30;270
direction;2018-09-01 20:28:30;180
direction;2018-09-01 20:34:30;270
direction;2018-09-01 20:38:30;135
direction;2018-09-01 20:42:30;180
direction;2018-09-01 20:48:30;135
direction;2018-09-01 20:54:30;135
direction;2018-09-01 20:58:30;135
direction;2018-09-01 21:02:30;135
direction;2018-09-01 21:08:30;135
direction;2018-09-01 21:12:30;135
direction;2018-09-01 21:18:30;135
direction;2018-09-01 21:24:30;135
direction;2018-09-01 21:28:30;270
direction;2018-09-01 21:34:30;225
direction;2018-09-01 21:40:30;225
direction;2018-09-01 21:44:30;225
direction;2018-09-01 21:50:30;135
direction;2018-09-01 21:56:30;270
direction;2018-09-01 22:00:30;135
direction;2018-09-01 22:06:30;225
direction;2018-09-01 22:10:30;270
direction;2018-09-01 22:14:30;90
direction;2018-09-01 22:26:30;135
direction;2018-09-01 22:32:30;90
direction;2018-09-01 22:36:30;135
direction;2018-09-01 22:42:30;90
direction;2018-09-01 22:46:30;135
direction;2018-09-01 22:52:30;90
direction;2018-09-01 22:56:30;270
direction;2018-09-01 23:02:30;180
direction;2018-09-01 23:08:30;90
direction;2018-09-01 23:14:30;225
direction;2018-09-01 23:20:30;180
direction;2018-09-01 23:26:30;270
direction;2018-09-01 23:30:30;270
direction;2018-09-01 23:36:30;135
direction;2018-09-01 23:40:30;270
direction;2018-09-01 23:46:30;90
direction;2018-09-01 23:52:30;270
direction;2018-09-01 23:58:30;270
direction;2018-09-02 00:04:30;225
direction;2018-09-02 00:10:30;270
direction;2018-09-02 00:14:30;270
direction;2018-09-02 00:20:30;135
direction;2018-09-02 00:26:30;225
direction;2018-09-02 00:32:30;135
direction;2018-09-02 00:36:30;270
direction;2018-09-02 00:42:30;270
direction;2018-09-02 00:46:30;270
direction;2018-09-02 00:50:30;135
direction;2018-09-02 00:56:30;135
direction;2018-09-02 01:02:30;135
direction;2018-09-02 01:06:30;270
direction;2018-09-02 01:12:30;270
direction;2018-09-02 01:16:30;135
direction;2018-09-02 01:22:30;270
direction;2018-09-02 01:28:30;270
direction;2018-09-02 01:32:30;90
direction;2018-09-02 01:36:30;135
direction;2018-09-02 01:42:30;270
direction;2018-09-02 01:46:30;135
direction;2018-09-02 01:50:30;135
direction;2018-09-02 01:56:30;135
direction;2018-09-02 02:02:30;270
direction;2018-09-02 02:06:30;135
direction;2018-09-02 02:10:30;135
direction;2018-09-02 02:14:30;270
direction;2018-09-02 02:18:30;135
direction;2018-09-02 02:22:30;135
direction;2018-09-02 02:26:30;135
direction;2018-09-02 02:30:30;135
direction;2018-09-02 02:34:30;135
direction;2018-09-02 02:38:30;135
direction;2018-09-02 02:44:30;135
direction;2018-09-02 02:50:30;135
direction;2018-09-02 02:56:30;135
direction;2018-09-02 03:00:30;135
direction;2018-09-02 03:04:30;135
direction;2018-09-02 03:10:30;90
direction;2018-09-02 03:14:30;135
direction;2018-09-02 03:18:30;135
direction;2018-09-02 03:22:30;90
direction;2018-09-02 03:28:30;135
direction;2018-09-02 03:32:30;45
direction;2018-09-02 03:36:30;90
direction;2018-09-02 03:40:30;270
direction;2018-09-02 03:44:30;135
direction;2018-09-02 03:48:30;135
direction;2018-09-02 03:52:30;135
direction;2018-09-02 03:58:30;90
direction;2018-09-02 04:02:30;135
direction;2018-09-02 04:08:30;90
direction;2018-09-02 04:12:30;90
direction;2018-09-02 04:18:30;135
direction;2018-09-02 04:22:30;135
direction;2018-09-02 04:28:30;135
direction;2018-09-02 04:32:30;135
direction;2018-09-02 04:36:30;135
direction;2018-09-02 04:40:30;270
direction;2018-09-02 04:46:30;135
direction;2018-09-02 04:50:30;90
direction;2018-09-02 04:56:30;135
direction;2018-09-02 05:02:30;135
direction;2018-09-02 05:08:30;135
direction;2018-09-02 05:14:30;270
direction;2018-09-02 05:18:30;270
direction;2018-09-02 05:22:30;225
direction;2018-09-02 05:28:30;135
direction;2018-09-02 05:32:30;135
direction;2018-09-02 05:38:30;90
direction;2018-09-02 05:42:30;225
direction;2018-09-02 05:48:30;45
direction;2018-09-02 05:52:30;135
direction;2018-09-02 05:56:30;135
direction;2018-09-02 06:00:30;225
direction;2018-09-02 06:04:30;270
direction;2018-09-02 06:10:30;180
direction;2018-09-02 06:16:30;135
direction;2018-09-02 06:22:30;135
direction;2018-09-02 06:28:30;90
direction;2018-09-02 06:34:30;135
direction;2018-09-02 06:42:30;135
direction;2018-09-02 06:46:30;135
direction;2018-09-02 06:50:30;135
direction;2018-09-02 06:54:30;135
direction;2018-09-02 07:00:30;180
direction;2018-09-02 07:06:30;270
direction;2018-09-02 07:10:30;270
direction;2018-09-02 07:14:30;270
direction;2018-09-02 07:18:30;225
direction;2018-09-02 07:24:30;135
direction;2018-09-02 07:28:30;135
direction;2018-09-02 07:32:30;270
direction;2018-09-02 07:38:30;90
direction;2018-09-02 07:42:30;270
