"time","conc","wdir","wspeed","minute","hour","dow","wos"
2018-09-01 13:55:00,1.24475,180,0.40000000596,835,13,"Saturday","1"
2018-09-01 14:00:00,1.2105,180,0.0399999991059,840,14,"Saturday","1"
2018-09-01 14:05:00,0.994,135,1.15999996662,845,14,"Saturday","1"
2018-09-01 14:10:00,1.51125,270,0.740000009537,850,14,"Saturday","1"
2018-09-01 14:15:00,1.4525,90,0.300000011921,855,14,"Saturday","1"
2018-09-01 14:20:00,1.4808,315,0.980000019073,860,14,"Saturday","1"
2018-09-01 14:25:00,1.16225,225,0.309999994934,865,14,"Saturday","1"
2018-09-01 14:30:00,0.79275,NA,NA,870,14,"Saturday","1"
2018-09-01 14:35:00,0.7925,270,0.0099999997765,875,14,"Saturday","1"
2018-09-01 14:40:00,0.9455,NA,NA,880,14,"Saturday","1"
2018-09-01 14:45:00,1.012,225,0.680000007153,885,14,"Saturday","1"
2018-09-01 14:50:00,0.9298,135,0.360000014305,890,14,"Saturday","1"
2018-09-01 14:55:00,1.29725,180,0.259999990463,895,14,"Saturday","1"
2018-09-01 15:00:00,1.039,NA,NA,900,15,"Saturday","1"
2018-09-01 15:05:00,1.28925,270,0.319999992847,905,15,"Saturday","1"
2018-09-01 15:10:00,1.51575,270,0.360000014305,910,15,"Saturday","1"
2018-09-01 15:15:00,1.5935,135,0.180000007153,915,15,"Saturday","1"
2018-09-01 15:20:00,1.7896,270,0.800000011921,920,15,"Saturday","1"
2018-09-01 15:25:00,1.23866666666667,135,0.860000014305,925,15,"Saturday","1"
2018-09-01 15:30:00,0.8545,135,0.0399999991059,930,15,"Saturday","1"
2018-09-01 15:35:00,1.54425,135,0.019999999553,935,15,"Saturday","1"
2018-09-01 15:40:00,1.1412,NA,NA,940,15,"Saturday","1"
2018-09-01 15:45:00,0.99425,270,0.019999999553,945,15,"Saturday","1"
2018-09-01 15:50:00,1.52875,180,0.300000011921,950,15,"Saturday","1"
2018-09-01 15:55:00,1.22375,270,0.64000002294595,955,15,"Saturday","1"
2018-09-01 16:00:00,1.034,90,0.10000000149,960,16,"Saturday","1"
2018-09-01 16:05:00,1.02775,135,0.159999996424,965,16,"Saturday","1"
2018-09-01 16:10:00,0.9862,90,0.019999999553,970,16,"Saturday","1"
2018-09-01 16:15:00,1.24725,90,0.1999999973925,975,16,"Saturday","1"
2018-09-01 16:20:00,1.77075,NA,NA,980,16,"Saturday","1"
2018-09-01 16:25:00,1.52125,135,0.07999999821195,985,16,"Saturday","1"
2018-09-01 16:30:00,1.38325,135,0.839999973774,990,16,"Saturday","1"
2018-09-01 16:35:00,1.51275,270,0.180000007153,995,16,"Saturday","1"
2018-09-01 16:40:00,0.8126,135,0.019999999553,1000,16,"Saturday","1"
2018-09-01 16:45:00,0.73,135,0.20000000298,1005,16,"Saturday","1"
2018-09-01 16:50:00,0.92075,135,0.280000001192,1010,16,"Saturday","1"
2018-09-01 16:55:00,1.083,NA,NA,1015,16,"Saturday","1"
2018-09-01 17:00:00,1.083,135,0.699999988079,1020,17,"Saturday","1"
2018-09-01 17:05:00,1.083,135,0,1025,17,"Saturday","1"
2018-09-01 17:10:00,0.8392,135,0.019999999553,1030,17,"Saturday","1"
2018-09-01 17:15:00,0.77275,135,0.419999986887,1035,17,"Saturday","1"
2018-09-01 17:20:00,0.94525,135,0,1040,17,"Saturday","1"
2018-09-01 17:25:00,1.651,270,0,1045,17,"Saturday","1"
2018-09-01 17:30:00,1.4035,270,0,1050,17,"Saturday","1"
2018-09-01 17:35:00,0.952,135,0,1055,17,"Saturday","1"
2018-09-01 17:40:00,1.3254,135,0.0799999982119,1060,17,"Saturday","1"
2018-09-01 17:45:00,1.167,135,0.0399999991059,1065,17,"Saturday","1"
2018-09-01 17:50:00,1.4125,NA,NA,1070,17,"Saturday","1"
2018-09-01 17:55:00,1.69125,270,0.25000000372545,1075,17,"Saturday","1"
2018-09-01 18:00:00,1.24775,NA,NA,1080,18,"Saturday","1"
2018-09-01 18:05:00,1.474,135,0.019999999553,1085,18,"Saturday","1"
2018-09-01 18:10:00,1.593,270,0.0399999991059,1090,18,"Saturday","1"
2018-09-01 18:15:00,1.2146,270,1.12000000477,1095,18,"Saturday","1"
2018-09-01 18:20:00,1.39625,135,0.019999999553,1100,18,"Saturday","1"
2018-09-01 18:25:00,1.20125,135,0.300000011921,1105,18,"Saturday","1"
2018-09-01 18:30:00,0.874,135,0.660000026226,1110,18,"Saturday","1"
2018-09-01 18:35:00,0.814,180,0.68000002577795,1115,18,"Saturday","1"
2018-09-01 18:40:00,0.88425,135,0,1120,18,"Saturday","1"
2018-09-01 18:45:00,0.90925,135,0,1125,18,"Saturday","1"
2018-09-01 18:50:00,0.9645,NA,NA,1130,18,"Saturday","1"
2018-09-01 18:55:00,0.947,135,0,1135,18,"Saturday","1"
2018-09-01 19:00:00,1.31275,225,0.340000003576,1140,19,"Saturday","1"
